Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",403.677500,-38.738750,0.000000,bottom
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",399.452500,-44.145000,0.000000,bottom
"C3","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",430.567500,-35.850000,0.000000,bottom
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",423.015000,-36.945000,-90.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",389.745000,-26.280000,90.000000,bottom
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",387.735000,-26.287500,90.000000,bottom
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",385.755000,-26.287500,90.000000,bottom
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",383.775000,-26.317500,90.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",381.815000,-26.325000,90.000000,bottom
"C15","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",379.825000,-26.337500,90.000000,bottom
"C16","0.1uF","C_0805_2012Metric",375.645000,-19.415000,180.000000,bottom
"C17","0.1uF","C_0805_2012Metric",400.825000,-19.505000,180.000000,bottom
"C18","0.1uF","C_0805_2012Metric",424.385000,-27.195000,0.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",409.055000,-40.177500,90.000000,bottom
"C20","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",417.907500,-23.625000,180.000000,bottom
"C21","0.1uF","C_0805_2012Metric",375.695000,-45.705000,0.000000,bottom
"C22","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",389.115000,-44.407500,-90.000000,bottom
"C23","10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",404.417500,-31.565000,0.000000,bottom
"C24","10pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",408.962500,-35.175000,0.000000,bottom
"D3","D_Schottky_Small","D_SOD-123",26.600000,-16.200000,90.000000,bottom
"D4","D_Schottky_Small","D_SOD-123",64.650000,-16.200000,90.000000,bottom
"D5","D_Schottky_Small","D_SOD-123",83.700000,-16.200000,90.000000,bottom
"D6","D_Schottky_Small","D_SOD-123",102.750000,-16.200000,90.000000,bottom
"D7","D_Schottky_Small","D_SOD-123",121.800000,-16.200000,90.000000,bottom
"D8","D_Schottky_Small","D_SOD-123",150.400000,-16.200000,90.000000,bottom
"D9","D_Schottky_Small","D_SOD-123",169.400000,-16.200000,90.000000,bottom
"D10","D_Schottky_Small","D_SOD-123",188.450000,-16.200000,90.000000,bottom
"D11","D_Schottky_Small","D_SOD-123",207.500000,-16.200000,90.000000,bottom
"D12","D_Schottky_Small","D_SOD-123",236.100000,-16.200000,90.000000,bottom
"D13","D_Schottky_Small","D_SOD-123",255.150000,-16.200000,90.000000,bottom
"D14","D_Schottky_Small","D_SOD-123",274.200000,-16.200000,90.000000,bottom
"D15","D_Schottky_Small","D_SOD-123",293.250000,-16.200000,90.000000,bottom
"D16","D_Schottky_Small","D_SOD-123",319.250000,-16.200000,90.000000,bottom
"D17","D_Schottky_Small","D_SOD-123",338.300000,-16.200000,90.000000,bottom
"D18","D_Schottky_Small","D_SOD-123",357.350000,-16.200000,90.000000,bottom
"D21","D_Schottky_Small","D_SOD-123",26.550000,-54.300000,90.000000,bottom
"D22","D_Schottky_Small","D_SOD-123",45.600000,-54.300000,90.000000,bottom
"D23","D_Schottky_Small","D_SOD-123",64.650000,-54.300000,90.000000,bottom
"D24","D_Schottky_Small","D_SOD-123",83.700000,-54.300000,90.000000,bottom
"D25","D_Schottky_Small","D_SOD-123",102.750000,-54.300000,90.000000,bottom
"D26","D_Schottky_Small","D_SOD-123",121.800000,-54.300000,90.000000,bottom
"D27","D_Schottky_Small","D_SOD-123",140.850000,-54.300000,90.000000,bottom
"D28","D_Schottky_Small","D_SOD-123",159.900000,-54.300000,90.000000,bottom
"D29","D_Schottky_Small","D_SOD-123",178.950000,-54.300000,90.000000,bottom
"D30","D_Schottky_Small","D_SOD-123",198.000000,-54.300000,90.000000,bottom
"D31","D_Schottky_Small","D_SOD-123",217.050000,-54.300000,90.000000,bottom
"D32","D_Schottky_Small","D_SOD-123",236.100000,-54.300000,90.000000,bottom
"D33","D_Schottky_Small","D_SOD-123",255.150000,-54.300000,90.000000,bottom
"D34","D_Schottky_Small","D_SOD-123",283.750000,-54.300000,90.000000,bottom
"D35","D_Schottky_Small","D_SOD-123",319.250000,-54.300000,90.000000,bottom
"D36","D_Schottky_Small","D_SOD-123",338.300000,-54.300000,90.000000,bottom
"D37","D_Schottky_Small","D_SOD-123",357.350000,-54.300000,90.000000,bottom
"D38","D_Schottky_Small","D_SOD-123",368.350000,-60.000000,-90.000000,bottom
"D39","D_Schottky_Small","D_SOD-123",387.400000,-60.000000,-90.000000,bottom
"D40","D_Schottky_Small","D_SOD-123",421.450000,-54.300000,90.000000,bottom
"D41","D_Schottky_Small","D_SOD-123",439.500000,-54.300000,90.000000,bottom
