Ref,Val,Package,PosX,PosY,Rot,Side
"BUZ1","Buzzer","Buzzer_Mallory_AST1109MLTRQ",368.205000,-41.835000,90.000000,top
"MH1","3mm_Mount_Pad","Omnikey_SolderPad",57.150000,-38.100000,0.000000,top
"MH2","3mm_Mount_Pad","Omnikey_SolderPad",180.975000,-38.100000,0.000000,top
"MH3","3mm_Mount_Pad","Omnikey_SolderPad",349.845313,-38.100000,0.000000,top
"MH4","3mm_Mount_Pad","Omnikey_SolderPad",330.795313,-95.250000,0.000000,top
"MH5","3mm_Mount_Pad","Omnikey_SolderPad",353.218750,-104.775000,0.000000,top
"SWH1","Alps_Switch","ALPS-1U",21.431250,-133.350000,0.000000,top
"SWH2","Alps_Switch","ALPS-1U",45.243750,-133.350000,0.000000,top
"SWH3","Alps_Switch","ALPS-1U",19.050000,-19.050000,0.000000,top
"SWH4","Alps_Switch","ALPS-1U",57.150000,-19.050000,0.000000,top
"SWH5","Alps_Switch","ALPS-1U",76.200000,-19.050000,0.000000,top
"SWH6","Alps_Switch","ALPS-1U",95.250000,-19.050000,0.000000,top
"SWH7","Alps_Switch","ALPS-1U",114.300000,-19.050000,0.000000,top
"SWH8","Alps_Switch","ALPS-1U",142.875000,-19.050000,0.000000,top
"SWH9","Alps_Switch","ALPS-1U",161.925000,-19.050000,0.000000,top
"SWH10","Alps_Switch","ALPS-1U",180.975000,-19.050000,0.000000,top
"SWH11","Alps_Switch","ALPS-1U",200.025000,-19.050000,0.000000,top
"SWH12","Alps_Switch","ALPS-1U",228.600000,-19.050000,0.000000,top
"SWH13","Alps_Switch","ALPS-1U",247.650000,-19.050000,0.000000,top
"SWH14","Alps_Switch","ALPS-1U",266.700000,-19.050000,0.000000,top
"SWH15","Alps_Switch","ALPS-1U",285.750000,-19.050000,0.000000,top
"SWH16","Alps_Switch","ALPS-1U",311.745313,-19.050000,0.000000,top
"SWH17","Alps_Switch","ALPS-1U",330.795313,-19.050000,0.000000,top
"SWH18","Alps_Switch","ALPS-1U",349.845313,-19.050000,0.000000,top
"SWH19","Alps_Switch","ALPS-1U",69.056250,-133.350000,0.000000,top
"SWH20","Alps_Switch","ALPS-1U",140.493750,-133.350000,0.000000,top
"SWH21","Alps_Switch","ALPS-1U",19.050000,-57.150000,0.000000,top
"SWH22","Alps_Switch","ALPS-1U",38.100000,-57.150000,0.000000,top
"SWH23","Alps_Switch","ALPS-1U",57.150000,-57.150000,0.000000,top
"SWH24","Alps_Switch","ALPS-1U",76.200000,-57.150000,0.000000,top
"SWH25","Alps_Switch","ALPS-1U",95.250000,-57.150000,0.000000,top
"SWH26","Alps_Switch","ALPS-1U",114.300000,-57.150000,0.000000,top
"SWH27","Alps_Switch","ALPS-1U",133.350000,-57.150000,0.000000,top
"SWH28","Alps_Switch","ALPS-1U",152.400000,-57.150000,0.000000,top
"SWH29","Alps_Switch","ALPS-1U",171.450000,-57.150000,0.000000,top
"SWH30","Alps_Switch","ALPS-1U",190.500000,-57.150000,0.000000,top
