Designator,Mid X,Mid Y,Rotation,Layer
"C1",403.677500,-38.738750,0.000000,bottom
"C2",399.452500,-44.145000,0.000000,bottom
"C3",430.567500,-35.850000,0.000000,bottom
"C8",423.015000,-36.945000,-90.000000,bottom
"C10",389.745000,-26.280000,90.000000,bottom
"C11",387.735000,-26.287500,90.000000,bottom
"C12",385.755000,-26.287500,90.000000,bottom
"C13",383.775000,-26.317500,90.000000,bottom
"C14",381.815000,-26.325000,90.000000,bottom
"C15",379.825000,-26.337500,90.000000,bottom
"C16",375.645000,-19.415000,180.000000,bottom
"C17",400.825000,-19.505000,180.000000,bottom
"C18",424.385000,-27.195000,0.000000,bottom
"C19",409.055000,-40.177500,90.000000,bottom
"C20",417.907500,-23.625000,180.000000,bottom
"C21",375.695000,-45.705000,0.000000,bottom
"C22",389.115000,-44.407500,-90.000000,bottom
"C23",404.417500,-31.565000,0.000000,bottom
"C24",408.962500,-35.175000,0.000000,bottom
"D3",26.600000,-16.200000,90.000000,bottom
"D4",64.650000,-16.200000,90.000000,bottom
"D5",83.700000,-16.200000,90.000000,bottom
"D6",102.750000,-16.200000,90.000000,bottom
"D7",121.800000,-16.200000,90.000000,bottom
"D8",150.400000,-16.200000,90.000000,bottom
"D9",169.400000,-16.200000,90.000000,bottom
"D10",188.450000,-16.200000,90.000000,bottom
"D11",207.500000,-16.200000,90.000000,bottom
"D12",236.100000,-16.200000,90.000000,bottom
"D13",255.150000,-16.200000,90.000000,bottom
"D14",274.200000,-16.200000,90.000000,bottom
"D15",293.250000,-16.200000,90.000000,bottom
"D16",319.250000,-16.200000,90.000000,bottom
"D17",338.300000,-16.200000,90.000000,bottom
"D18",357.350000,-16.200000,90.000000,bottom
"D21",26.550000,-54.300000,90.000000,bottom
"D22",45.600000,-54.300000,90.000000,bottom
"D23",64.650000,-54.300000,90.000000,bottom
"D24",83.700000,-54.300000,90.000000,bottom
"D25",102.750000,-54.300000,90.000000,bottom
"D26",121.800000,-54.300000,90.000000,bottom
"D27",140.850000,-54.300000,90.000000,bottom
"D28",159.900000,-54.300000,90.000000,bottom
"D29",178.950000,-54.300000,90.000000,bottom
"D30",198.000000,-54.300000,90.000000,bottom
"D31",217.050000,-54.300000,90.000000,bottom
"D32",236.100000,-54.300000,90.000000,bottom
"D33",255.150000,-54.300000,90.000000,bottom
"D34",283.750000,-54.300000,90.000000,bottom
"D35",319.250000,-54.300000,90.000000,bottom
"D36",338.300000,-54.300000,90.000000,bottom
"D37",357.350000,-54.300000,90.000000,bottom
"D38",368.350000,-60.000000,-90.000000,bottom
"D39",387.400000,-60.000000,-90.000000,bottom
"D40",421.450000,-54.300000,90.000000,bottom
"D41",439.500000,-54.300000,90.000000,bottom
"D44",31.300000,-73.350000,90.000000,bottom
"D45",55.100000,-73.350000,90.000000,bottom
"D46",74.150000,-73.350000,90.000000,bottom
"D47",93.250000,-73.350000,90.000000,bottom
"D48",112.300000,-73.350000,90.000000,bottom
"D49",131.350000,-73.350000,90.000000,bottom
"D50",150.350000,-73.350000,90.000000,bottom
"D51",169.400000,-73.350000,90.000000,bottom
"D52",188.450000,-73.350000,90.000000,bottom
"D53",207.550000,-73.350000,90.000000,bottom
"D54",226.600000,-73.350000,90.000000,bottom
"D55",245.600000,-73.350000,90.000000,bottom
"D56",264.650000,-73.350000,90.000000,bottom
"D57",288.500000,-73.350000,90.000000,bottom
"D58",319.250000,-73.350000,90.000000,bottom
"D59",338.300000,-73.350000,90.000000,bottom
"D60",357.350000,-73.350000,90.000000,bottom
"D61",383.350000,-73.350000,90.000000,bottom
"D62",402.400000,-73.350000,90.000000,bottom
"D63",421.450000,-73.350000,90.000000,bottom
"D64",439.500000,-73.350000,90.000000,bottom
"D67",33.700000,-92.400000,90.000000,bottom
"D68",59.900000,-92.400000,90.000000,bottom
"D69",78.950000,-92.400000,90.000000,bottom
"D70",98.000000,-92.400000,90.000000,bottom
"D71",117.050000,-92.400000,90.000000,bottom
"D72",136.100000,-92.400000,90.000000,bottom
